game_id,game_description,game_type,game_link,game_status,game_sport,game_startTime,game_live,game_awayTeamFirst,game_denySameGame,game_teaserAllowed,game_competitionId,game_notes,game_numMarkets,game_lastModified,competitor_1,competitor_1_home,competitor_2,competitor_2_home,team_1_hcap,team_1_hcap_odds,team_2_hcap,team_2_hcap_odds,team_1_ml_odds,team_2_ml_odds,Over_line,Over_odds,Under_line,Under_odds,draw_ml_odds,game_startTime_cst,game_date,game_time,away_team_clean,home_team_clean,DC_Game_ID
12133701,Jan Pleskot vs Miroslav Klimenta,GAMEEVENT,/table-tennis/czech-republic/liga-pro/jan-pleskot-miroslav-klimenta-202307020200,U,TABL,2023-07-02 06:00:00,False,False,NO,True,9971644,,15,1688245664708.0,Jan Pleskot,True,Miroslav Klimenta,False,0.5,-125,-0.5,-115,-120,-120,76.5,-120,76.5,-120,,2023-07-02 01:00:00-05:00,2023-07-02,01:00 AM,Miroslav Klimenta,Jan Pleskot,07022023-Miroslav Klimenta-Jan Pleskot
12133652,Martin Pavliska vs Richard Skacelik,GAMEEVENT,/table-tennis/czech-republic/liga-pro/martin-pavliska-richard-skacelik-202307020200,U,TABL,2023-07-02 06:00:00,False,False,NO,True,9971644,,15,1688245678188.0,Martin Pavliska,True,Richard Skacelik,False,-4.5,-120,4.5,-120,-205,+145,75.5,-120,75.5,-120,,2023-07-02 01:00:00-05:00,2023-07-02,01:00 AM,,Martin Pavliska,
12109011,Gen.G vs Hanwha Life Esports,GAMEEVENT,/esports/league-of-legends/lck-summer/gen-g-hanwha-life-esports-202307020200,U,ESPT,2023-07-02 06:00:00,False,False,NO,True,9373563,,49,1688258655531.0,Gen.G,True,Hanwha Life Esports,False,-1.5,-135,1.5,+105,-600,+350,2.5,+150,2.5,-200,,2023-07-02 01:00:00-05:00,2023-07-02,01:00 AM,Hanwha Life Esports,Gen.G,07022023-Hanwha Life Esports-Gen.G
12133683,Josef Koutnik vs Martin Jirasek,GAMEEVENT,/table-tennis/czech-republic/liga-pro/josef-koutnik-martin-jirasek-202307020200,U,TABL,2023-07-02 06:00:00,False,False,NO,True,9971644,,14,1688245664827.0,Josef Koutnik,True,Martin Jirasek,False,-9.5,-125,9.5,-115,-700,+400,69.5,-120,69.5,-120,,2023-07-02 01:00:00-05:00,2023-07-02,01:00 AM,Martin Jirasek,Josef Koutnik,07022023-Martin Jirasek-Josef Koutnik
12133634,Marek Placek vs Martin Tacinec,GAMEEVENT,/table-tennis/czech-republic/liga-pro/marek-placek-martin-tacinec-202307020200,U,TABL,2023-07-02 06:00:00,False,False,NO,True,9971644,,15,1688245664931.0,Marek Placek,True,Martin Tacinec,False,-7.5,-125,7.5,-115,-410,+260,72.5,-120,72.5,-120,,2023-07-02 01:00:00-05:00,2023-07-02,01:00 AM,Martin Tacinec,Marek Placek,07022023-Martin Tacinec-Marek Placek
12133644,Karel Zeman vs Kamil Przeczek,GAMEEVENT,/table-tennis/czech-republic/liga-pro/karel-zeman-kamil-przeczek-202307020230,U,TABL,2023-07-02 06:30:00,False,False,NO,True,9971644,,15,1688245687077.0,Karel Zeman,True,Kamil Przeczek,False,-4.5,-120,4.5,-120,-205,+145,75.5,-120,75.5,-120,,2023-07-02 01:30:00-05:00,2023-07-02,01:30 AM,Kamil Przeczek,,
12135160,Ladislav Havel vs Jaroslav Strnad,GAMEEVENT,/table-tennis/czech-republic/liga-pro/ladislav-havel-jaroslav-strnad-202307020230,U,TABL,2023-07-02 06:30:00,False,False,NO,True,9971644,,15,1688258690945.0,Ladislav Havel,True,Jaroslav Strnad,False,-7.5,-115,7.5,-125,-350,+230,73.5,-120,73.5,-120,,2023-07-02 01:30:00-05:00,2023-07-02,01:30 AM,Jaroslav Strnad,Ladislav Havel,07022023-Jaroslav Strnad-Ladislav Havel
12133661,Miroslav Cyrus vs Petr Kmoch Snr,GAMEEVENT,/table-tennis/czech-republic/liga-pro/miroslav-cyrus-petr-kmoch-snr-202307020230,U,TABL,2023-07-02 06:30:00,False,False,NO,True,9971644,,15,1688245687304.0,Miroslav Cyrus,True,Petr Kmoch Snr,False,1.5,-120,-1.5,-120,EVEN,-140,76.5,-120,76.5,-120,,2023-07-02 01:30:00-05:00,2023-07-02,01:30 AM,Petr Kmoch Snr,Miroslav Cyrus,07022023-Petr Kmoch Snr-Miroslav Cyrus
12133645,Lubor Sulava vs Otto Jarkovsky,GAMEEVENT,/table-tennis/czech-republic/liga-pro/lubor-sulava-otto-jarkovsky-202307020230,U,TABL,2023-07-02 06:30:00,False,False,NO,True,9971644,,15,1688245687178.0,Lubor Sulava,True,Otto Jarkovsky,False,3.5,-125,-3.5,-115,+120,-170,75.5,-120,75.5,-120,,2023-07-02 01:30:00-05:00,2023-07-02,01:30 AM,Otto Jarkovsky,Lubor Sulava,07022023-Otto Jarkovsky-Lubor Sulava
12135161,Martin Jirasek vs Miroslav Cyrus,GAMEEVENT,/table-tennis/czech-republic/liga-pro/martin-jirasek-miroslav-cyrus-202307020300,U,TABL,2023-07-02 07:00:00,False,False,NO,True,9971644,,15,1688258691058.0,Martin Jirasek,True,Miroslav Cyrus,False,0.5,-125,-0.5,-115,-120,-120,76.5,-120,76.5,-120,,2023-07-02 02:00:00-05:00,2023-07-02,02:00 AM,Miroslav Cyrus,Martin Jirasek,07022023-Miroslav Cyrus-Martin Jirasek
